function,mechanism,dataset,metric,dim_or_belief,raw_p,n,within_mech_q,global_bh_q,global_bh_reject_05,bonferroni_reject_05
f8,tscp,deam,correlation,mmn_amplitude_uV,0.001,,,0.00174971,1,0
f8,tscp,deam,correlation,p300_latency_ms,0.005,,,0.00754032,1,0
f8,tscp,deam,correlation,frequency_discrimination_hz,0.0001,,,0.000237084,1,0
f8,tscp,deam,correlation,gap_detection_ms,0.001,,,0.00174971,1,0
f8,tscp,deam,correlation,rhythm_sync_cv,0.001,,,0.00174971,1,0
f8,tscp,deam,correlation,pitch_memory_semitones,0.0001,,,0.000237084,1,0
f8,tscp,deam,correlation,gray_matter_HG_mm3,0.001,,,0.00174971,1,0
f8,tscp,deam,correlation,white_matter_CC_fa,0.01,,,0.0140866,1,0
r3,group_f,krumhansl,spearman_rho,D major,0.0479,,,0.0592218,0,0
r3,group_f,krumhansl,spearman_rho,G major,0.0283,,,0.0364658,1,0
neuro,opi_chills,mallik_2017_chills,mann_whitney_u,NAcc activation (DAED),0.044,36,,0.0547165,0,0
neuro,opi_chills,mallik_2017_chills,mann_whitney_u,MORMR mean (OPI relay),0.041,36,,0.0512414,0,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,vmPFC,0.001,10,,0.00174971,1,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,OFC,0.001,10,,0.00174971,1,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,ACC,0.001,10,,0.00174971,1,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,insula,0.001,10,,0.00174971,1,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,SMA,0.001,10,,0.00174971,1,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,VTA,0.001,10,,0.00174971,1,0
fmri,blood___zatorre,fmri_2001_bloodzatorre,region_match,amygdala,0.001,10,,0.00174971,1,0
fmri,salimpoor_et_al_,fmri_2013_salimpooreta,region_match,NAcc,0.001,19,,0.00174971,1,0
fmri,salimpoor_et_al_,fmri_2013_salimpooreta,region_match,IFG,0.001,19,,0.00174971,1,0
fmri,salimpoor_et_al_,fmri_2013_salimpooreta,region_match,VTA,0.001,19,,0.00174971,1,0
fmri,salimpoor_et_al_,fmri_2013_salimpooreta,region_match,STG,0.001,19,,0.00174971,1,0
fmri,salimpoor_et_al_,fmri_2013_salimpooreta,region_match,amygdala,0.001,19,,0.00174971,1,0
fmri,salimpoor_et_al_,fmri_2013_salimpooreta,region_match,region_6,0.5,19,,0.542029,0,0
fmri,grahn___brett,fmri_2007_grahnbrett,region_match,SMA,0.001,14,,0.00174971,1,0
fmri,grahn___brett,fmri_2007_grahnbrett,region_match,putamen,0.001,14,,0.00174971,1,0
fmri,grahn___brett,fmri_2007_grahnbrett,region_match,STG,0.001,14,,0.00174971,1,0
fmri,koelsch_et_al_,fmri_2005_koelschetal,region_match,IFG,0.001,18,,0.00174971,1,0
fmri,koelsch_et_al_,fmri_2005_koelschetal,region_match,STG,0.001,18,,0.00174971,1,0
fmri,brattico_et_al_,fmri_2011_bratticoetal,region_match,hippocampus,0.001,16,,0.00174971,1,0
fmri,brattico_et_al_,fmri_2011_bratticoetal,region_match,amygdala,0.001,16,,0.00174971,1,0
fmri,brattico_et_al_,fmri_2011_bratticoetal,region_match,STG,0.001,16,,0.00174971,1,0
fmri,zatorre___halpern,fmri_2005_zatorrehalpe,region_match,SMA,0.001,12,,0.00174971,1,0
fmri,zatorre___halpern,fmri_2005_zatorrehalpe,region_match,IFG,0.001,12,,0.00174971,1,0
fmri,zatorre___halpern,fmri_2005_zatorrehalpe,region_match,A1_HG,0.001,12,,0.00174971,1,0
