VPID,IC,ENTROPY,Leman6,rating,dissonance,spectralcentroid,spectralcomplexity,song,rhythm,chordnumber,presentorder,valence,arousal
3007,3.3981,1.5442,1.297587173,326,0.31529662,700.1950684,5.571428776,1,3,3,4,3,3
3007,17.258,0.81599,1.803729162,235,0.377560288,918.5125122,4.685714245,1,3,4,4,3,3
3007,0.57896,2.5457,1.696854697,548,0.324386627,901.1980591,5.123809338,1,3,5,4,3,3
3007,11.317,4.8129,1.271451667,358,0.337879121,726.3743286,4.980952263,1,3,6,4,3,3
3007,11.616,2.7836,1.567433759,742,0.41164577,877.1004639,5.895237923,1,3,7,4,3,3
3007,5.4017,4.5227,1.102920769,775,0.299536437,738.1177368,5.561904907,1,3,8,4,3,3
3007,10.266,3.3876,1.640026266,505,0.376703233,929.3502808,4.704761982,1,3,9,4,3,3
3007,0.1129,0.75601,1.501698133,1016,0.324707568,901.1021729,5.123809338,1,3,10,4,3,3
3007,7.1761,3.2649,1.387453916,714,0.342391789,786.1481934,5,1,3,11,4,3,3
3007,3.3977,1.5444,1.268765889,485,0.31581682,700.1626587,5.580952168,1,3,12,4,3,3
3007,17.258,0.816,1.789662331,344,0.377497107,918.4949341,4.685714245,1,3,13,4,3,3
3007,0.42113,2.3543,1.610659472,830,0.324635178,901.1934814,5.123809338,1,3,14,4,3,3
3007,5.206,5.4196,1.260311868,954,0.337778717,726.3856201,4.980952263,1,3,15,4,3,3
3007,11.513,2.8185,1.529047126,469,0.411743969,877.1000977,5.895237923,1,3,16,4,3,3
3007,4.2356,4.9164,1.103794753,1016,0.299482465,738.1118164,5.561904907,1,3,17,4,3,3
3007,5.6213,3.4641,1.287447423,758,0.303424597,892.531311,5.180952549,1,3,18,4,3,3
3007,7.6736,3.3674,1.566475423,849,0.297180355,822.9379272,5.523809433,1,3,19,4,3,3
3007,10.537,2.7481,1.336682762,966,0.393364787,661.5240479,5.895237923,1,3,20,4,3,3
3007,12.409,2.3647,1.575924708,342,0.444794506,909.4141846,5.485714436,1,3,21,4,3,3
3007,7.6684,4.8652,1.610054187,953,0.302392155,895.1865845,5.190476418,1,3,22,4,3,3
3007,5.0307,4.7442,1.807240294,1016,0.297197014,821.9419556,5.533333302,1,3,23,4,3,3
3007,10.467,2.7621,1.3810762,999,0.393281519,661.6509399,5.895237923,1,3,24,4,3,3
3007,4.9149,2.3691,1.182054075,1016,0.299561858,733.1868286,5.552381039,1,3,25,4,3,3
3007,7.5939,3.3749,1.060930635,1016,0.373690933,642.2910156,4.847619057,1,3,26,4,3,3
3007,4.6739,3.2714,1.120485677,1016,0.334800392,822.8640747,5.523809433,1,3,27,4,3,3
3007,2.601,1.6323,1.334096194,752,0.326516897,927.0111084,5.142857075,1,3,28,4,3,3
3007,1.8278,3.258,1.502255326,899,0.335439622,826.7674561,5.552381039,1,3,29,4,3,3
3007,0.78163,2.1913,1.544935529,899,0.326266021,921.8807983,5.142857075,1,3,30,4,3,3
3008,4.5926,5.1812,1.5471309,239,0.339455843,658.3101196,5.095238209,1,1,2,30,6,6
3008,3.3981,1.5442,1.308213007,238,0.308031559,577.0288696,5.62857151,1,1,3,30,6,6
3008,17.258,0.81599,1.818784113,524,0.37008208,765.267334,4.790476322,1,1,4,30,6,6
3008,0.57896,2.5457,1.718967352,268,0.31800577,751.9423828,5.17142868,1,1,5,30,6,6
3008,11.317,4.8129,1.275021308,651,0.333292931,610.5122681,5.095238209,1,1,6,30,6,6
3008,11.616,2.7836,1.567274332,783,0.408892155,734.3129272,5.942857266,1,1,7,30,6,6
3008,5.4017,4.5227,1.117430051,237,0.293267399,610.144104,5.571428776,1,1,8,30,6,6
3008,10.266,3.3876,1.652316598,834,0.370705843,775.6072998,4.771428585,1,1,9,30,6,6
3008,0.1129,0.75601,1.521107957,846,0.317808121,751.9009399,5.17142868,1,1,10,30,6,6
3008,7.1761,3.2649,1.390023919,892,0.339416951,655.4856567,5.114285946,1,1,11,30,6,6
3008,3.3977,1.5444,1.281350352,895,0.308043271,576.9907227,5.62857151,1,1,12,30,6,6
3008,17.258,0.816,1.80470319,293,0.36992377,765.2514648,4.800000191,1,1,13,30,6,6
3008,0.42113,2.3543,1.63003768,294,0.317335188,751.9517212,5.17142868,1,1,14,30,6,6
3008,5.206,5.4196,1.264641551,135,0.333477289,610.5061646,5.095238209,1,1,15,30,6,6
3008,11.513,2.8185,1.530839078,423,0.408568621,734.3065186,5.942857266,1,1,16,30,6,6
3008,4.2356,4.9164,1.116790207,639,0.293065727,610.1413574,5.571428776,1,1,17,30,6,6
3008,5.6213,3.4641,1.286912756,818,0.296821445,740.3543091,5.295238018,1,1,18,30,6,6
3008,7.6736,3.3674,1.56837243,929,0.288429141,687.5508423,5.619047642,1,1,19,30,6,6
3008,10.537,2.7481,1.343901003,937,0.390350401,556.7088013,5.990476131,1,1,20,30,6,6
3008,12.409,2.3647,1.573159391,1014,0.441559523,759.3932495,5.599999905,1,1,21,30,6,6
3008,7.6684,4.8652,1.614929978,629,0.295683861,743.0736084,5.276190281,1,1,22,30,6,6
3008,5.0307,4.7442,1.814499892,819,0.288890958,685.9658203,5.619047642,1,1,23,30,6,6
3008,10.467,2.7621,1.388667811,910,0.390321374,556.8511353,5.990476131,1,1,24,30,6,6
3008,4.9149,2.3691,1.186590354,911,0.291842073,608.7016602,5.571428776,1,1,25,30,6,6
3008,7.5939,3.3749,1.07213894,345,0.367765367,533.7171631,4.847619057,1,1,26,30,6,6
3008,4.6739,3.2714,1.131100193,619,0.331113964,687.1707764,5.571428776,1,1,27,30,6,6
3008,2.601,1.6323,1.342941793,170,0.319850922,772.0646362,5.17142868,1,1,28,30,6,6
3008,1.8278,3.258,1.511822946,276,0.331492931,689.1674194,5.619047642,1,1,29,30,6,6
3008,0.78163,2.1913,1.549385269,430,0.31935963,767.609314,5.17142868,1,1,30,30,6,6
3009,4.5926,5.1812,1.552390933,705,0.353004485,845.7007446,5.019047737,1,2,2,22,5,5
3009,3.3981,1.5442,1.308339427,519,0.323307842,743.5574341,5.638095379,1,2,3,22,5,5
3009,17.258,0.81599,1.816819496,387,0.38332969,993.3328857,4.742856979,1,2,4,22,5,5
3009,0.57896,2.5457,1.718477248,651,0.336162239,973.4033203,5.133333206,1,2,5,22,5,5
3009,11.317,4.8129,1.274552004,864,0.349323124,797.7456055,5.076190472,1,2,6,22,5,5
3009,11.616,2.7836,1.573530264,705,0.418206036,944.9680786,5.990476131,1,2,7,22,5,5
3009,5.4017,4.5227,1.113254605,626,0.310048282,782.5241089,5.638095379,1,2,8,22,5,5
3009,10.266,3.3876,1.650378012,168,0.383181542,1006.649658,4.733333111,1,2,9,22,5,5
3009,0.1129,0.75601,1.519713454,606,0.33543849,973.0087891,5.133333206,1,2,10,22,5,5
3009,7.1761,3.2649,1.392730635,478,0.353892595,842.5093994,5.057142735,1,2,11,22,5,5
3009,3.3977,1.5444,1.280057056,344,0.323019475,743.5183105,5.638095379,1,2,12,22,5,5
3009,17.258,0.816,1.803429663,80,0.382867247,993.2982788,4.742856979,1,2,13,22,5,5
3009,0.42113,2.3543,1.630102553,531,0.336211652,973.4048462,5.133333206,1,2,14,22,5,5
3009,5.206,5.4196,1.263181131,707,0.349501789,797.7557373,5.076190472,1,2,15,22,5,5
3009,11.513,2.8185,1.535126831,852,0.418147355,944.9849243,5.990476131,1,2,16,22,5,5
3009,4.2356,4.9164,1.113744251,735,0.310002238,782.522522,5.638095379,1,2,17,22,5,5
3009,5.6213,3.4641,1.290314912,944,0.320746362,946.6903076,5.295238018,1,2,18,22,5,5
3009,7.6736,3.3674,1.571087891,1020,0.309827089,884.8694458,5.523809433,1,2,19,22,5,5
3009,10.537,2.7481,1.34803616,1020,0.401577056,700.0853271,5.895237923,1,2,20,22,5,5
3009,12.409,2.3647,1.577760781,158,0.447173059,973.9074707,5.590476036,1,2,21,22,5,5
3009,7.6684,4.8652,1.619106512,158,0.320280194,948.1782837,5.304761887,1,2,22,22,5,5
3009,5.0307,4.7442,1.816499872,644,0.309666663,884.2079468,5.523809433,1,2,23,22,5,5
3009,10.467,2.7621,1.391239527,811,0.401425958,700.0778198,5.895237923,1,2,24,22,5,5
3009,4.9149,2.3691,1.188925821,880,0.30902943,779.2477417,5.619047642,1,2,25,22,5,5
3009,7.5939,3.3749,1.072837303,1020,0.381147981,704.6134033,4.885714054,1,2,26,22,5,5
3009,4.6739,3.2714,1.129283291,1020,0.349615783,885.7442627,5.561904907,1,2,27,22,5,5
3009,2.601,1.6323,1.344713882,468,0.337682873,1003.313782,5.133333206,1,2,28,22,5,5
3009,1.8278,3.258,1.508991905,288,0.349007279,888.7996216,5.54285717,1,2,29,22,5,5
3009,0.78163,2.1913,1.552491927,162,0.337691397,996.2407227,5.133333206,1,2,30,22,5,5
3010,4.5926,5.1812,1.54550112,357,0.342554331,789.4328003,4.980952263,1,3,2,4,4,3
3010,3.3981,1.5442,1.297587173,458,0.31529662,700.1950684,5.571428776,1,3,3,4,4,3
3010,17.258,0.81599,1.803729162,559,0.377560288,918.5125122,4.685714245,1,3,4,4,4,3
3010,0.57896,2.5457,1.696854697,644,0.324386627,901.1980591,5.123809338,1,3,5,4,4,3
3010,11.317,4.8129,1.271451667,558,0.337879121,726.3743286,4.980952263,1,3,6,4,4,3
3010,11.616,2.7836,1.567433759,508,0.41164577,877.1004639,5.895237923,1,3,7,4,4,3
3010,5.4017,4.5227,1.102920769,599,0.299536437,738.1177368,5.561904907,1,3,8,4,4,3
3010,10.266,3.3876,1.640026266,510,0.376703233,929.3502808,4.704761982,1,3,9,4,4,3
3010,0.1129,0.75601,1.501698133,606,0.324707568,901.1021729,5.123809338,1,3,10,4,4,3
3010,7.1761,3.2649,1.387453916,654,0.342391789,786.1481934,5,1,3,11,4,4,3
3010,3.3977,1.5444,1.268765889,707,0.31581682,700.1626587,5.580952168,1,3,12,4,4,3
3010,17.258,0.816,1.789662331,754,0.377497107,918.4949341,4.685714245,1,3,13,4,4,3
