region_idx,region_name,is_brainstem,status,r_ceiling,ci_95_lo,ci_95_hi,p_null,n_loso_trials,passes_floor
0,A1_HG,False,OK,0.10957756227123941,0.041372478008270264,0.18980908393859863,0.0001999600079984003,4,True
1,STG,False,OK,0.024457717715325115,-0.012788547202944756,0.08660496026277542,0.2463507298540292,4,False
2,STS,False,OK,0.11582086091724092,0.07646598666906357,0.1548154205083847,0.0001999600079984003,4,True
3,IFG,False,OK,0.23249635596142712,0.13750958442687988,0.31257936358451843,0.0001999600079984003,4,True
4,dlPFC,False,OK,0.3187947638685464,0.2685387432575226,0.371465802192688,0.0001999600079984003,4,True
5,vmPFC,False,OK,0.07167911239870366,-0.028118928894400597,0.15551400184631348,0.03479304139172166,4,True
6,OFC,False,OK,-0.03474178412345906,-0.07437661290168762,-0.0015818297397345304,0.16036792641471706,4,False
7,ACC,False,OK,0.04648019705565376,0.026357511058449745,0.06576747447252274,0.1401719656068786,4,False
8,SMA,False,OK,0.1726794166365168,0.14952711760997772,0.19813591241836548,0.0001999600079984003,4,True
9,PMC,False,OK,0.19318386956503972,0.1346142441034317,0.23390325903892517,0.0001999600079984003,4,True
10,AG,False,OK,0.24303544858770768,0.20660068094730377,0.27879711985588074,0.0001999600079984003,4,True
11,TP,False,OK,-0.04014814885023246,-0.08094774931669235,0.008715893141925335,0.04519096180763847,4,False
12,VTA,False,OK,0.17296729492420845,0.14346127212047577,0.1978205442428589,0.0001999600079984003,4,True
13,NAcc,False,OK,0.053009051203364084,-0.019561175256967545,0.10588669776916504,0.03579284143171366,4,True
14,caudate,False,OK,0.027674765639943134,0.0023629236966371536,0.05482824891805649,0.1217756448710258,4,False
15,amygdala,False,OK,0.12306570303046098,0.044390711933374405,0.20057271420955658,0.004199160167966407,4,True
16,hippocampus,False,OK,0.3543201656661104,0.3014501929283142,0.40545207262039185,0.0001999600079984003,4,True
17,putamen,False,OK,0.1656728983121301,0.13566303253173828,0.1991768330335617,0.0001999600079984003,4,True
18,MGB,False,OK,0.1412146337169388,0.0804348886013031,0.19058018922805786,0.0001999600079984003,4,True
19,hypothalamus,False,OK,0.06096678604395082,0.044105272740125656,0.07804959267377853,0.0001999600079984003,4,True
20,insula,False,OK,0.1291365943211816,0.0681009292602539,0.2037973552942276,0.0003999200159968006,4,True
21,IC,True,OK,0.2056683243654218,0.16188304126262665,0.2592983543872833,0.0001999600079984003,4,True
22,AN,True,OK,0.07210652863067452,-0.10255410522222519,0.19316503405570984,0.025994801039792043,4,True
23,CN,True,OK,-0.034060340262543155,-0.24245023727416992,0.10965225845575333,0.2917416516696661,4,False
24,SOC,True,OK,0.042649143039323885,-0.09841155260801315,0.15113794803619385,0.1893621275744851,4,False
25,PAG,True,OK,0.20578045288639465,0.15822555124759674,0.23542501032352448,0.0001999600079984003,4,True
