region_idx,region_name,is_brainstem,r_mi,r_ceiling,ceiling_ci_lo,ceiling_ci_hi,efficiency_capped,p_null,verdict
0,A1_HG,False,-0.00983752396377542,0.10957756227123941,0.041372478008270264,0.18980908393859863,-0.08977680977629718,0.0001999600079984003,AT_FLOOR
1,STG,False,0.056023613225104824,0.024457717715325115,-0.012788547202944756,0.08660496026277542,1.0,0.2463507298540292,AT_CEILING
2,STS,False,-0.03212356153352281,0.11582086091724092,0.07646598666906357,0.1548154205083847,-0.2773555754906407,0.0001999600079984003,AT_FLOOR
3,IFG,False,0.006978275148997323,0.23249635596142712,0.13750958442687988,0.31257936358451843,0.030014557089037004,0.0001999600079984003,BELOW_CEILING
4,dlPFC,False,-0.02399634539550872,0.3187947638685464,0.2685387432575226,0.371465802192688,-0.07527208133632805,0.0001999600079984003,AT_FLOOR
5,vmPFC,False,0.007507179197792312,0.07167911239870366,-0.028118928894400597,0.15551400184631348,0.10473314954061962,0.03479304139172166,AT_CEILING
6,OFC,False,0.009970868816340132,-0.03474178412345906,-0.07437661290168762,-0.0015818297397345304,nan,0.16036792641471706,EXCEEDS
7,ACC,False,-0.016967139758095467,0.04648019705565376,0.026357511058449745,0.06576747447252274,-0.3650401855607369,0.1401719656068786,AT_FLOOR
8,SMA,False,-0.01228239551796217,0.1726794166365168,0.14952711760997772,0.19813591241836548,-0.07112831255282796,0.0001999600079984003,AT_FLOOR
9,PMC,False,-0.010974444241240125,0.19318386956503972,0.1346142441034317,0.23390325903892517,-0.05680828459409925,0.0001999600079984003,AT_FLOOR
10,AG,False,-0.028835729256661363,0.24303544858770768,0.20660068094730377,0.27879711985588074,-0.11864824421386826,0.0001999600079984003,AT_FLOOR
11,TP,False,0.040122703102310565,-0.04014814885023246,-0.08094774931669235,0.008715893141925335,nan,0.04519096180763847,EXCEEDS
12,VTA,False,-0.03396225942659201,0.17296729492420845,0.14346127212047577,0.1978205442428589,-0.19635075776304267,0.0001999600079984003,AT_FLOOR
13,NAcc,False,0.009125655408073034,0.053009051203364084,-0.019561175256967545,0.10588669776916504,0.17215277770325188,0.03579284143171366,AT_CEILING
14,caudate,False,-0.022220414064790837,0.027674765639943134,0.0023629236966371536,0.05482824891805649,-0.8029124565636789,0.1217756448710258,AT_FLOOR
15,amygdala,False,-0.06423365539247798,0.12306570303046098,0.044390711933374405,0.20057271420955658,-0.5219460321660779,0.004199160167966407,AT_FLOOR
16,hippocampus,False,-0.04237544609855505,0.3543201656661104,0.3014501929283142,0.40545207262039185,-0.11959648421051787,0.0001999600079984003,AT_FLOOR
17,putamen,False,-0.029620419187736443,0.1656728983121301,0.13566303253173828,0.1991768330335617,-0.17878856161453244,0.0001999600079984003,AT_FLOOR
18,MGB,False,0.015317897012053584,0.1412146337169388,0.0804348886013031,0.19058018922805786,0.10847244799542466,0.0001999600079984003,BELOW_CEILING
19,hypothalamus,False,0.017405862271141475,0.06096678604395082,0.044105272740125656,0.07804959267377853,0.2854974552634877,0.0001999600079984003,BELOW_CEILING
20,insula,False,0.012030072172926435,0.1291365943211816,0.0681009292602539,0.2037973552942276,0.09315773144060067,0.0003999200159968006,BELOW_CEILING
21,IC,True,-0.011839476557673773,0.2056683243654218,0.16188304126262665,0.2592983543872833,-0.05756587259707503,0.0001999600079984003,AT_FLOOR
22,AN,True,-0.0008625700616445171,0.07210652863067452,-0.10255410522222519,0.19316503405570984,-0.011962440544913086,0.025994801039792043,AT_FLOOR
23,CN,True,0.0268325842704399,-0.034060340262543155,-0.24245023727416992,0.10965225845575333,nan,0.2917416516696661,AT_CEILING
24,SOC,True,0.009473516572058157,0.042649143039323885,-0.09841155260801315,0.15113794803619385,0.2221267743486257,0.1893621275744851,AT_CEILING
25,PAG,True,-0.04018037522042777,0.20578045288639465,0.15822555124759674,0.23542501032352448,-0.19525846433339408,0.0001999600079984003,AT_FLOOR
