pair_id,test,rho,p_perm,ci_lo,ci_hi,n,anchor_id,pass,note
P3,spearman,0.5507692307692308,0.006993006993006993,0.12306985463957665,0.7869407649711251,25,3,True,"sign_match=True, mag_pass=True, baseline=0.885"
S9,spearman,0.5507692307692308,0.006993006993006993,0.12306985463957665,0.7869407649711251,25,3,,
S10,spearman,-0.5507692307692308,0.006993006993006993,-0.7869407649711251,-0.12306985463957665,25,3,,
S11,spearman,0.5507692307692308,0.006993006993006993,0.12306985463957665,0.7869407649711251,25,3,,
S12,spearman,0.6407692307692306,0.000999000999000999,0.2668839745569745,0.8385046367851623,25,3,,
