pair_id,test,rho,p_perm,ci_lo,ci_hi,n,group,anchor_id,pass,note
P1.UK,spearman,0.7999999999999999,0.34165834165834164,,,4,UK,1,,
P1.Kalash,spearman,0.7999999999999999,0.32367632367632365,,,4,Kalash,1,,
P1.Khow,spearman,0.39999999999999997,0.7212787212787213,,,4,Khow,1,,
P1.composite,gradient,0.39999999999999997,,,,3,,1,True,"per-group ρ: {'UK': 0.7999999999999999, 'Kalash': 0.7999999999999999, 'Khow': 0.39999999999999997}"
S1,spearman,0.6790997501017324,0.002997002997002997,0.20156437105402525,0.8933460394232516,16,,1,,per-stimulus n=16 (16 = 4 chord × 4 root)
S2,spearman,0.6063390625908325,0.015984015984015984,0.04625323121865922,0.894907678961494,16,,1,,per-stimulus n=16
S3,spearman,0.30316953129541624,0.25374625374625376,-0.18160384616373318,0.7734266069310535,16,,1,,per-stimulus n=16
S4,spearman,0.6427194063462824,0.011988011988011988,0.28825010310661714,0.8718486024808232,16,,1,,per-stimulus n=16
