pair_id,test,rho,p_perm,ci_lo,ci_hi,n,anchor_id,note,pass
P4.bowl18,spearman,0.3998508849273257,0.000999000999000999,0.2979357904328408,0.49261717759316137,298,4,P4 v2: 298 chords from inconMore/bowl18,
P4.jl12a,spearman,-0.5036264729634774,0.000999000999000999,-0.690261825345652,-0.24566131181536402,55,4,P4 v2: 55 chords from inconMore/jl12a,
P4.jl12b,spearman,-0.26368794728121914,0.06393606393606394,-0.5535326772323811,0.029810297162702865,48,4,P4 v2: 48 chords from inconMore/jl12b,
P4.lah16,spearman,0.9357142857142854,0.000999000999000999,0.797357982717099,0.989111200978458,15,4,P4 v2: 15 chords from inconMore/lah16,
P4.lah20a,spearman,0.7518276816613626,0.000999000999000999,0.4493859545925294,0.8846336208638852,25,4,P4 v2: 25 chords from inconMore/lah20a,
P4.lah20b,spearman,0.3396745292045113,0.005994005994005994,0.10954936631479774,0.5506300337261373,72,4,P4 v2: 72 chords from inconMore/lah20b,
P4.pop19,spearman,-0.3413885099510028,0.003996003996003996,-0.5392793165596207,-0.10410944201783727,80,4,P4 v2: 80 chords from inconMore/pop19,
P4.composite,mean_abs_rho_inconmore_per_dataset,0.5051100445290263,,,,7,4,"P4 PIVOTED v2: 7/8 datasets; mean |ρ|=0.505; 6/7 with |ρ|≥0.3; signed mean ρ=0.188 (4/7 positive — sign reflects rating-scale convention, varies across datasets)",True
S13,spearman,0.3998508849273257,0.000999000999000999,0.2979357904328408,0.49261717759316137,298,4,P4 v2: 298 chords from inconMore/bowl18,
S14,spearman,0.7518276816613626,0.000999000999000999,0.4493859545925294,0.8846336208638852,25,4,P4 v2: 25 chords from inconMore/lah20a,
S15,spearman,0.3396745292045113,0.005994005994005994,0.10954936631479774,0.5506300337261373,72,4,P4 v2: 72 chords from inconMore/lah20b,
S16,spearman,-0.3413885099510028,0.003996003996003996,-0.5392793165596207,-0.10410944201783727,80,4,P4 v2: 80 chords from inconMore/pop19,
