semitone,behavioral_consonance,r3_roughness,r3_sethares_dissonance,r3_helmholtz_kang,r3_stumpf_fusion,r3_sensory_pleasantness,r3_inharmonicity,r3_harmonic_deviation
0,1.0,0.15126432,0.15529995,0.9466205,0.7682748,0.81413007,0.23172519,0.27932006
7,0.86,0.14566691,0.20054616,0.42563275,0.51458734,0.6855073,0.4854127,0.41770598
5,0.8,0.1623503,0.3177436,0.40218192,0.4721114,0.59819835,0.52788866,0.42108855
4,0.72,0.30780938,0.37457827,0.7759158,0.34842154,0.5146217,0.6515784,0.37292266
8,0.5,0.39830163,0.3595558,0.8268213,0.111152485,0.42872757,0.88884753,0.38831225
6,0.28,0.3427822,0.395277,0.530394,0.101109385,0.40327758,0.8988906,0.3722625
