semitone,mean_rating,r3_roughness,r3_sethares_dissonance,r3_helmholtz_kang,r3_stumpf_fusion,r3_sensory_pleasantness,r3_inharmonicity,r3_harmonic_deviation
0,4.080392156862745,0.15126432,0.15529995,0.9466205,0.7682748,0.81413007,0.23172519,0.27932006
1,3.388671875,0.7542866,0.71154135,0.74939024,0.19130088,0.24959558,0.80869913,0.33035788
2,3.6862955032119915,0.5409378,0.68675023,0.29271817,0.278014,0.29915547,0.721986,0.30256227
3,4.0476190476190474,0.2153772,0.44886947,0.51870424,0.3532006,0.47195855,0.6467994,0.41880623
4,4.255387931034483,0.30780938,0.37457827,0.7759158,0.34842154,0.5146217,0.6515784,0.37292266
5,4.16414686825054,0.1623503,0.3177436,0.40218192,0.4721114,0.59819835,0.52788866,0.42108855
6,3.8480392156862746,0.3427822,0.395277,0.530394,0.101109385,0.40327758,0.8988906,0.3722625
7,4.1483739837398375,0.14566691,0.20054616,0.42563275,0.51458734,0.6855073,0.4854127,0.41770598
8,4.216733870967742,0.39830163,0.3595558,0.8268213,0.111152485,0.42872757,0.88884753,0.38831225
9,4.1479591836734695,0.16217673,0.26425105,0.41247725,0.34466678,0.5793161,0.6553332,0.43895003
10,3.9768270944741535,0.16237782,0.28068903,0.36106262,0.21044405,0.51576424,0.78955597,0.40612096
11,3.7161654135338344,0.48622733,0.3935589,0.6671045,0.055001944,0.38586545,0.944998,0.43696743
12,4.1080550098231825,0.15014613,0.15176576,0.974737,0.8270372,0.8397554,0.17296267,0.61109334
