subject,encoder,D,n_clips,n_voxels,top5pct_mean_r,median_r,max_r,runtime_s
sub-001,mi_ram_26d,26,540,60784,0.17859581112861633,0.002361459657549858,0.5561327338218689,0.72
sub-001,mi_naive_26d,26,540,60784,0.0913236141204834,-0.017906714230775833,0.2774340808391571,0.37
sub-001,mert_768d,768,540,60784,0.16922743618488312,0.0034529841504991055,0.656078577041626,1.86
sub-001,random_26d,26,540,60784,0.11245262622833252,-0.009608462452888489,0.2504984140396118,0.56
sub-001,random_768d,768,540,60784,0.13158561289310455,0.012475868687033653,0.25719159841537476,1.47
sub-003,mi_ram_26d,26,540,64700,0.25334399938583374,-0.0062180170789361,0.6404379606246948,0.72
sub-003,mi_naive_26d,26,540,64700,0.11822683364152908,-0.014556262642145157,0.38560929894447327,0.5
sub-003,mert_768d,768,540,64700,0.24689680337905884,-0.00040489836828783154,0.7398062944412231,1.75
sub-003,random_26d,26,540,64700,0.10101987421512604,-0.020478609949350357,0.2243945449590683,0.43
sub-003,random_768d,768,540,64700,0.1280553638935089,0.004254339262843132,0.2480514496564865,1.14
sub-004,mi_ram_26d,26,540,61899,0.18064187467098236,-0.0030901310965418816,0.6297358274459839,0.65
sub-004,mi_naive_26d,26,540,61899,0.09597400575876236,-0.014628035016357899,0.27943605184555054,0.52
sub-004,mert_768d,768,540,61899,0.17426714301109314,0.00574098015204072,0.6469446420669556,1.8
sub-004,random_26d,26,540,61899,0.10693566501140594,-0.015083776786923409,0.21368402242660522,0.46
sub-004,random_768d,768,540,61899,0.13244514167308807,0.009210847318172455,0.26293715834617615,1.61
