subject,encoder,D,n_voxels,real_top5pct_mean_r,null_median_top5pct,null_p95_top5pct,null_p99_top5pct,p_one_tailed,effect_size_abs,q_bh,pass_bh_q05
sub-001,mi_ram_26d,26,60784,0.16526927053928375,0.13236050307750702,0.14294110238552094,0.1474784016609192,0.001996007984031936,0.03290876746177673,0.005322687957418496,True
sub-001,mi_naive_26d,26,60784,0.10615438967943192,0.09777615964412689,0.11292998492717743,0.1192624494433403,0.16766467065868262,0.008378230035305023,0.23670306445931663,False
sub-001,mert_768d,768,60784,0.2172580063343048,0.17879590392112732,0.18291226029396057,0.18470297753810883,0.001996007984031936,0.03846210241317749,0.005322687957418496,True
sub-001,clap_music_512d,512,60784,0.18526053428649902,0.1709183156490326,0.17862026393413544,0.181915745139122,0.003992015968063872,0.01434221863746643,0.008709853021230266,True
sub-001,random_26d,26,60784,0.14351172745227814,0.14469222724437714,0.14944301545619965,0.15213137865066528,0.6467065868263473,-0.001180499792098999,0.7054980947196516,False
sub-001,random_768d,768,60784,0.1817014366388321,0.1802712231874466,0.18208882212638855,0.1826501488685608,0.09181636726546906,0.001430213451385498,0.1469061876247505,False
sub-003,mi_ram_26d,26,64700,0.20498119294643402,0.13202720880508423,0.1418604552745819,0.14766409993171692,0.001996007984031936,0.07295398414134979,0.005322687957418496,True
sub-003,mi_naive_26d,26,64700,0.1318037509918213,0.09759868681430817,0.11297853291034698,0.12130937725305557,0.001996007984031936,0.03420506417751312,0.005322687957418496,True
sub-003,mert_768d,768,64700,0.26918691396713257,0.17869357764720917,0.1833711862564087,0.18697437644004822,0.001996007984031936,0.0904933363199234,0.005322687957418496,True
sub-003,clap_music_512d,512,64700,0.19672830402851105,0.1709444522857666,0.17817117273807526,0.1818912923336029,0.001996007984031936,0.025783851742744446,0.005322687957418496,True
sub-003,random_26d,26,64700,0.140992671251297,0.14440158009529114,0.1498432457447052,0.15173862874507904,0.9201596806387226,-0.0034089088439941406,0.9201596806387226,False
sub-003,random_768d,768,64700,0.18019717931747437,0.180281400680542,0.18211610615253448,0.1834694892168045,0.5449101796407185,-8.422136306762695e-05,0.6538922155688622,False
sub-004,mi_ram_26d,26,61899,0.1746598482131958,0.1323913335800171,0.14412939548492432,0.1527312695980072,0.001996007984031936,0.04226851463317871,0.005322687957418496,True
sub-004,mi_naive_26d,26,61899,0.11213703453540802,0.09752056002616882,0.11381545662879944,0.12279237061738968,0.07385229540918163,0.014616474509239197,0.13634269921695072,False
sub-004,mert_768d,768,61899,0.21437424421310425,0.17886871099472046,0.18309523165225983,0.1854536235332489,0.001996007984031936,0.03550553321838379,0.005322687957418496,True
sub-004,clap_music_512d,512,61899,0.17203667759895325,0.17098698019981384,0.17830216884613037,0.18205751478672028,0.3852295409181637,0.0010496973991394043,0.48660573589662787,False
sub-004,random_26d,26,61899,0.14520344138145447,0.1442636102437973,0.14964047074317932,0.15173418819904327,0.36726546906187624,0.0009398311376571655,0.48660573589662787,False
sub-004,random_768d,768,61899,0.18231704831123352,0.18030233681201935,0.1824798434972763,0.18342570960521698,0.06387225548902195,0.0020147114992141724,0.1277445109780439,False
sub-005,mi_ram_26d,26,53421,0.17025265097618103,0.13067497313022614,0.14715944230556488,0.15561212599277496,0.003992015968063872,0.039577677845954895,0.008709853021230266,True
sub-005,mi_naive_26d,26,53421,0.10697110742330551,0.09569965302944183,0.11533994227647781,0.1315821260213852,0.1596806387225549,0.011271454393863678,0.23670306445931663,False
sub-005,mert_768d,768,53421,0.21853208541870117,0.17804290354251862,0.1854032278060913,0.19201874732971191,0.001996007984031936,0.040489181876182556,0.005322687957418496,True
sub-005,clap_music_512d,512,53421,0.17772771418094635,0.1697867512702942,0.18016496300697327,0.18749698996543884,0.08982035928143713,0.00794096291065216,0.1469061876247505,False
sub-005,random_26d,26,53421,0.14255626499652863,0.14351576566696167,0.15293139219284058,0.15961553156375885,0.6027944111776448,-0.0009595006704330444,0.6889078984887369,False
sub-005,random_768d,768,53421,0.17875249683856964,0.17977143824100494,0.18374502658843994,0.18694458901882172,0.7445109780439122,-0.0010189414024353027,0.7768810205675605,False
