r2_heldout,pearson_r,pearson_p,spearman_rho,spearman_p,aic_train,bic_train,rmse_heldout,model,fold,n_train,n_test
0.174459895541635,0.4186037604026172,5.128013993366883e-10,0.3968142395230541,4.594099338773796e-09,1917.0516210896164,1949.896207287163,0.887296396389672,M0_null_controls,1,806,203
0.3905695050479987,0.657723600553076,2.773945093537816e-26,0.6169351263484558,1.8146381842006188e-22,1938.3101820389522,1971.1721164485998,0.8511698441843125,M0_null_controls,2,808,201
0.42937773723155725,0.6874983711767031,1.8232016861454632e-29,0.6230766957292744,5.2479818102160266e-23,1920.6230388692136,1953.4849732788612,0.9108648840472591,M0_null_controls,3,808,201
0.01914821885288953,0.44146683463190006,4.818084442978919e-11,0.48828946942209694,1.685635199531707e-13,1954.0463889044402,1986.8996545823297,0.8335546054033494,M0_null_controls,4,807,202
0.1020318099723384,0.5105465035132036,8.346426886267429e-15,0.4974672426777491,5.0116164267899595e-14,2003.945159674297,2036.7984253521865,0.7176602547842428,M0_null_controls,5,807,202
0.3075525513056401,0.5567935950127643,6.34736949203103e-18,0.5242647417451105,9.944086602166082e-16,1776.7803439725317,1819.0090976550914,0.8126303522069226,M1_additive_IC_ENTROPY,1,806,203
0.49249036625890374,0.7345123509880724,2.3697610109440904e-35,0.6331358061179253,6.475866040789098e-24,1800.8436004739217,1843.0946590006115,0.7767410953017646,M1_additive_IC_ENTROPY,2,808,201
0.5432593725886757,0.7574632770183737,1.0533194467252047e-38,0.7083035318457219,6.316854654598995e-32,1789.0328304012655,1831.2838889279553,0.8149189662594236,M1_additive_IC_ENTROPY,3,808,201
0.11334424465189108,0.5758272793839342,3.1009359939337773e-19,0.5833495608031289,8.236541213512905e-20,1801.4209038609167,1843.6608168753462,0.7925193625123176,M1_additive_IC_ENTROPY,4,807,202
0.22498581401382034,0.5664969833125229,1.5325548077292497e-18,0.5191080588527464,2.475109567193197e-15,1855.2966545849047,1897.5365675993341,0.6667196341085646,M1_additive_IC_ENTROPY,5,807,202
0.322793040181531,0.5713958970256982,5.456599981104677e-19,0.5345688292387628,2.1267160967874588e-16,1746.6880289318988,1793.608866356965,0.8036377630528385,M2_interaction_IC_x_ENTROPY,1,806,203
0.5251777532354331,0.7600760127369135,4.142403450358238e-39,0.6409487217378455,1.2081521898908194e-24,1782.0198340953102,1828.9654546805211,0.7513108611547776,M2_interaction_IC_x_ENTROPY,2,808,201
0.5486442391579187,0.7531007059445718,4.875161810811166e-38,0.6672528446874538,2.9144001409750372e-27,1754.5493087174873,1801.4949293026982,0.8101008698393118,M2_interaction_IC_x_ENTROPY,3,808,201
0.14449496813375662,0.5947237816118189,1.0384403547055047e-20,0.5985814219197796,5.049081249115108e-21,1775.428763909393,1822.3620005920925,0.778473165881875,M2_interaction_IC_x_ENTROPY,4,807,202
0.277932104951232,0.5835226501637598,7.985853214979303e-20,0.5365245189908928,1.8739231206783037e-16,1833.3581615631215,1880.291398245821,0.6435428012326366,M2_interaction_IC_x_ENTROPY,5,807,202
0.2561289245531515,0.5154588494300235,3.566983207653466e-15,0.45668065792380463,7.474416094318588e-12,1815.2664606524575,1852.8031305925106,0.8422644406587343,M3_MI_Eq5_composite,1,806,203
0.46694122704783003,0.7136553807269755,1.3560230125800085e-32,0.6349061622580169,4.4452884037324334e-24,1844.584298891383,1882.1407953595517,0.796052453927577,M3_MI_Eq5_composite,2,808,201
0.509229714792671,0.7363374783895091,1.3212895497524831e-35,0.6707846904093394,1.237749602935152e-27,1828.7217458405107,1866.2782423086794,0.8447315855556531,M3_MI_Eq5_composite,3,808,201
0.11301722574737849,0.5314279114250315,4.049791275572099e-16,0.480597830894161,4.532100047692928e-13,1853.429543222545,1890.9761325687045,0.7926654986647822,M3_MI_Eq5_composite,4,807,202
0.2439054292902325,0.5776254262950303,2.265732535596121e-19,0.5365237910301763,1.8741311398347594e-16,1911.4257369015986,1948.9723262477582,0.6585313860426342,M3_MI_Eq5_composite,5,807,202
