Unnamed: 0,id,rating,rating_sd,rating_se,dataset,chord_size,name,chord_nro,genre,register,pitchlow,pitchhigh,pitchrange,gill_09_harmonicity,har_18_harmonicity,milne_13_harmonicity,parn_88_root_ambig,parn_94_complex,stolz_15_periodicity,bowl_18_min_freq_dist,hutch_78_roughness,seth_93_roughness,vass_01_roughness,wang_13_roughness,jl_12_tonal,har_19_corpus,har_19_composite,sharpness,sproll,spflux,keyclar,spcentr,spirreg,Forte,neg_log_prob,CorpPop,CorpJazz,CorpClas,TDL,TDL1,register_N,midi,pc,r3_roughness,r3_sethares_dissonance,r3_helmholtz_kang,r3_stumpf_fusion,r3_sensory_pleasantness,r3_inharmonicity,r3_harmonic_deviation
90,te123c,5.51258741258741,0.86,0.157,bowl18,4,minor triad (r) + M6,,,60,55,64,9,0.08,0.728916578223825,0.644295763132923,2.36643191323985,0.143136984528246,-4.86440934524794,35.9627889954623,0.329087876428097,1.90464264028127,4.52378385497897,1.04096433593171,3,5.11201769037551,0.816232457508785,0.812669,986.153,5.49712,0.913213,0.734381,0.737205,4-27A,4.97985225373369,5.22017005506107,4.26829436647932,4.97985225373369,1,1,6.14285714285714,55-58-62-64,0-3-7-9,0.5663993954658508,0.9032033085823059,0.3974982500076294,0.32477596402168274,0.18798838555812836,0.6752240657806396,0.39825645089149475
91,te163c,5.51258741258741,0.681,0.124,bowl18,4,te163c,,,60,53,65,12,0.102222222222222,0.802289788464618,0.631533057415607,2.04939015319192,0.206916048091304,-4.0339273215261,38.101247710923,0.275349015920747,1.35626503954812,2.87087241761994,0.941934954009484,3,1.0,0.607478718836912,0.759013,1051.09,3.62645,0.602465,0.681799,1.04407,3-8A,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,53-57-63-65,0-4-10-12,0.659163773059845,0.8201739192008972,0.4714764654636383,0.24233673512935638,0.20483039319515228,0.7576632499694824,0.5594714879989624
92,te190c,5.51258741258741,0.819,0.15,bowl18,4,te190c,,,60,53,65,12,0.0625,0.842879489623361,0.685685156085516,2.04939015319192,0.244475561160075,-4.00904340313837,14.6839146725366,0.364731895183236,1.43443486757538,3.45110701170922,0.872266649974414,4,1.0,0.534924105556475,0.760051,991.537,5.66037,0.460882,0.648606,0.741749,3-5A,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,53-59-60-65,0-6-7-12,0.6006381511688232,0.7439552545547485,0.49404704570770264,0.19015516340732574,0.22968892753124237,0.8098447918891907,0.49099087715148926
93,tr36c,5.40664335559441,0.773854363,0.14128583,bowl18,3,Italian 6th,,,59,55,65,10,0.0583333333333333,0.802289788464618,0.631533057415607,2.04939015319192,0.336613044130369,-3.93792706373901,50.9439326371874,0.209182262101296,0.919916273991195,2.0205720898396,0.951034859355421,3,1.0,0.714669538877625,0.740828,786.298,5.85676,0.401158,0.628622,0.282809,3-8A,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,4.85714285714286,55-59-65,0-4-10,0.4571676254272461,0.7099787592887878,0.4950271248817444,0.3838658928871155,0.32755914330482483,0.6161340475082397,0.3694173991680145
94,te77c,5.4055944055944,0.898,0.164,bowl18,4,te77c,,,58,55,65,10,0.277777777777778,0.851740027175046,0.675052507383902,2.10262993215139,0.091690852052679,-4.10416639998386,24.0022820091254,0.383229127425336,1.95215732159279,4.52258214612961,1.11806585173936,1,6.77381810231831,1.11946559918027,0.771415,983.462,5.99379,0.60709,0.681403,0.492609,4-22A,8.97748579111647,3.73225929214014,7.59675433306551,8.97748579111647,1,1,3.57142857142857,55-57-60-65,0-2-5-10,0.6980658769607544,0.9244174957275391,0.3689482808113098,0.3031410276889801,0.1666058897972107,0.6968590021133423,0.36884763836860657
95,te94c,5.4055944055944,0.774,0.141,bowl18,4,te94c,,,59,54,66,12,0.0833333333333333,0.802289788464618,0.631533057415607,2.20139815711603,0.28550865233261,-4.61440934524794,22.6551374341554,0.326161696319321,1.36284746588798,2.79936983794655,0.950842962979968,3,1.0,0.525161655266708,0.769826,1042.34,7.02404,0.574014,0.720901,0.431622,3-8B,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,4.85714285714286,54-56-62-66,0-2-8-12,0.6599236726760864,0.8343388438224792,0.4705057144165039,0.22257140278816223,0.1884252429008484,0.7774285674095154,0.5318020582199097
96,te133c,5.4055944055944,0.817,0.149,bowl18,4,te133c,,,59,53,65,12,0.0277777777777778,0.727581329514965,0.587538205311478,2.50998007960223,0.184283397992959,-3.76064997042823,33.0382330734706,0.232948828315589,1.37242163499575,2.95194188427424,0.952510781427874,3,3.43773223440645,0.79598121625614,0.73936,882.861,11.0775,0.660596,0.642238,0.812019,3-10,4.64377597831346,5.91848520577946,7.57376481484081,4.64377597831346,1,1,4.85714285714286,53-56-62-65,0-3-9-12,0.525443971157074,0.767052948474884,0.4702613353729248,0.31012624502182007,0.26381880044937134,0.6898737549781799,0.5203121900558472
97,te148c,5.4055944055944,0.817,0.149,bowl18,4,te148c,,,59,54,65,11,0.121428571428571,0.792841884635678,0.678210185899313,2.29128784747792,0.159811098125523,-4.92856137941653,28.5436845415537,0.392134110313348,1.86106349454282,4.21025293759525,0.958209573618133,4,1.0,0.401469120471425,0.81812,1115.02,10.2823,0.678801,0.735385,0.959697,4-16A,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,4.85714285714286,54-58-60-65,0-4-6-11,0.5375844836235046,0.8206221461296082,0.566917359828949,0.2740963101387024,0.21726524829864502,0.7259037494659424,0.4000348448753357
98,te209c,5.4055944055944,0.774,0.141,bowl18,4,power chord + m7,,,60,52,64,12,0.177777777777778,0.934734306954438,0.70414111353318,1.92506684375924,0.298595667030262,-3.68016794670639,35.9627889954623,0.241961596028543,1.33138786479005,3.10994120142071,0.923179283853296,3,4.99609207960734,1.3116964553996,0.7685,995.574,4.96086,0.800384,0.731163,0.399777,3-7B,3.87008572567373,6.41900145988659,12.051101629319,3.87008572567373,1,1,6.14285714285714,52-59-62-64,0-7-10-12,0.4752357006072998,0.7495102882385254,0.3803428113460541,0.3069385290145874,0.27306926250457764,0.6930614709854126,0.529319167137146
99,tr23c,5.30174825174825,0.723973709,0.13217891,bowl18,3,tr23c,,,60,57,62,5,0.114814814814815,0.934734306954438,0.70414111353318,1.92506684375924,0.150754774028018,-4.04523642870147,32.039202616809,0.293276881356241,1.14359954397645,2.92313308307455,0.85360704480128,3,2.38478053078751,0.957776147048691,0.811149,1103.91,4.45304,0.753142,0.804542,0.291251,3-7B,3.87008572567373,6.41900145988659,12.051101629319,3.87008572567373,1,1,6.14285714285714,57-60-62,0-3-5,0.6550770998001099,0.8663184642791748,0.37129640579223633,0.3064410090446472,0.20278529822826385,0.6935589909553528,0.40174388885498047
