config,dim,logreg,lda,rf,best_clf,best_acc,passes_0.375,k_over_n
v4_original_4d,4,,0.3050847457627119,0.3220338983050847,rf,0.3220338983050847,False,0.03389830508474576
v5_song_aligned_16m_64d,32,,0.3220338983050847,0.3135593220338983,lda,0.3220338983050847,False,0.2711864406779661
v5_F4_F5_combined,54,,0.288135593220339,0.2966101694915254,rf,0.2966101694915254,False,0.4576271186440678
v5_rhythm_only,18,,0.3559322033898305,0.2627118644067797,lda,0.3559322033898305,False,0.15254237288135594
v4_v3_228d_rich,228,,0.3898305084745763,0.2966101694915254,lda,0.3898305084745763,True,1.9322033898305084
