raga,rho_first60,rho_middle60,rho_full,n_pairs
Shree,0.8681858076258225,0.7757575757575759,0.9515151515151516,3.0
Bhairabi,0.7181818181818183,0.4454545454545455,0.6636363636363637,3.0
Jog,0.6431844106482596,0.9,0.8666666666666667,3.0
Lalat,0.4367091673745533,0.29696969696969694,0.9272727272727274,3.0
Marwa,0.6286770261153041,0.7363636363636364,0.9333333333333332,3.0
MEAN,0.6589876459891515,0.630909090909091,0.8684848484848485,3.0
